id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
415			4.82007	50.70338			Dongelberg
416			2.353889	48.935556			St.Denis bei Paris, S. Denis (presso Parigi), St.Denis
417			9.131944	53.236944			Marlag-Milag
418			9.131877	53.238674			Westertimke
419			6.825333	47.741787			Giromagny
420			4.871985	50.46739			Namur
421			6.863849	47.639675			Belfort
422			9.732011	52.375893			Celle/Hannover
423			2.80802	49.4026			Clermont
424			19.699024	48.669025			Slowakei, Slovacchia, Slovaquie
425			14.150558	50.511			Teresienstadt, Theresienstadt, Terezin
426			11.433902	48.262997			Dachau
427			14.516944	48.241943			Mauthausen
428			13.162112	53.192898			Ravensbrück
430			100.5	13.7333			Bangkok
431			106.62966	10.823099			Saïgon, Saigon
432			120.98422	14.599512			Manille, Manila
434			-56.333042	48.606457			Terranova, Terre-Neuve
457			20.168331	41.15333			Albanien, Albania, Albanie
458	Albanien		19.818699	41.327545			Tirane, Tirana, Tiranë
460			8.306473	47.473766	Baden		
462			148.9833	-32.55			Wellington
467			23.72936	37.983917	Athen	Athènes	Atene
469			28.188057	-25.74611			Pretoria, Prétoria
471			32.85411	39.92077			Ankara
473			151.1667	-33.9167			Sydney
478			-63.588654	-16.290154	Bolivien	Bolivie	Bolivia
479			-78.1834	-1.831239			Ecuador, Equateur, Équateur
480			-72.28522	18.971188			Haiti, Haïti
481			-86.241905	15.199999			Honduras
482			43.67929	33.22319	Irak	Irak	Iraq
483			35.862286	33.85472	Libanon	Liban	Libano
484			-9.429499	6.428055			Liberia, Libéria
485	1958-1961 Zusammenschluss von Syrien und Ägypten zur Vereinigten Arabischen Republik (VAR), dodis.ch/G6601. Bis 1972 Weiterverwendung des Namens VAR durch Ägypten.		38.996815	34.802074	Syrien	Syrie	Siria
486			-66.58973	6.42375			Venezuela, Vénézuela
487			-90.23076	15.783471			Guatémala, Guatemala
490	Hauptort des Kantons Freiburg		7.145568	46.801666			Freiburg, Friborgo, Freiburg im Uechtland, Freiburg i.Ue., Fribourg
495			67.70995	33.93911			Afganistan, Afghanistan
496			-43.39491	-22.952253			Transjordanien, Transgiordania, Transjordanie
511			13.776818	45.649525			Triest, Trieste
512			21	59			Baltico (Mare), Baltikum (Meer), Baltique (Mer), Cote Baltique
514			12.340171	62.27865	Skandinavien	Scandinavie	Scandinavia, Pays nordiques, Pays scandinaves, Norden (Skandinavien), Skandinavische Länder, Nordische Staaten, Etats scandinaves, Etats nordiques
